"country","indicator","Unit","Date","Value"
"Afghanistan","Happiness Score","Scale, 0=Low ; 10=High","2018","3.20329999923706"
"Afghanistan","Dystopia (1.88) + residual","score","2018","1.79306018352509"
"Afghanistan","Whisker-high","score","2018","3.27751207351685"
"Afghanistan","Whisker-low","score","2018","3.12908792495728"
"Afghanistan","GDP per capita","score","2018","0.349630922079086"
"Afghanistan","Social support","score","2018","0.517003238201141"
"Afghanistan","Healthy life expectancy","score","2018","0.360616266727448"
"Afghanistan","Freedom to make life choices","score","2018","0"
"Afghanistan","Generosity","score","2018","0.158151417970657"
"Afghanistan","Perceptions of corruption","score","2018","0.0248752124607563"
"Afghanistan","Life Ladder","score","2018","2.69430327415466"
"Afghanistan","Log GDP per capita","score","2018","7.49458789825439"
"Afghanistan","Social support","score","2018","0.507515847682953"
"Afghanistan","Healthy life expectancy at birth","years","2018","52.5999984741211"
"Afghanistan","Freedom to make life choices","score","2018","0.373535543680191"
"Afghanistan","Generosity","score","2018","-0.0848878771066666"
"Afghanistan","Perceptions of corruption","score","2018","0.92760568857193"
"Afghanistan","Positive affect","score","2018","0.42412531375885"
"Afghanistan","Negative affect","score","2018","0.404904395341873"
"Afghanistan","Confidence in national government","score","2018","0.364666402339935"
"Afghanistan","Standard deviation of ladder by country-year","score","2018","1.40834379196167"
"Afghanistan","Standard deviation/Mean of ladder by country-year","score","2018","0.52271169424057"
"Afghanistan","gini of household income reported in Gallup, by wp5-year","score","2018","0.290681332349777"
"Albania","Happiness Score","Scale, 0=Low ; 10=High","2018","4.71859979629517"
"Albania","Dystopia (1.88) + residual","score","2018","1.46100187301636"
"Albania","Whisker-high","score","2018","4.82927274703979"
"Albania","Whisker-low","score","2018","4.60792684555054"
"Albania","GDP per capita","score","2018","0.94710111618042"
"Albania","Social support","score","2018","0.847680747509003"
"Albania","Healthy life expectancy","score","2018","0.874208450317383"
"Albania","Freedom to make life choices","score","2018","0.383339017629623"
"Albania","Generosity","score","2018","0.178158894181252"
"Albania","Perceptions of corruption","score","2018","0.0270839482545853"
"Albania","Life Ladder","score","2018","5.00440263748169"
"Albania","Log GDP per capita","score","2018","9.41239929199219"
"Albania","Social support","score","2018","0.683591663837433"
"Albania","Healthy life expectancy at birth","years","2018","68.6999969482422"
"Albania","Freedom to make life choices","score","2018","0.824212312698364"
"Albania","Generosity","score","2018","0.0053849508985877"
"Albania","Perceptions of corruption","score","2018","0.899129390716553"
"Albania","Positive affect","score","2018","0.713299572467804"
"Albania","Negative affect","score","2018","0.318996727466583"
"Albania","Confidence in national government","score","2018","0.435337960720062"
"Albania","Standard deviation of ladder by country-year","score","2018","2.64053082466125"
"Albania","Standard deviation/Mean of ladder by country-year","score","2018","0.527641534805298"
"Albania","GINI index (World Bank estimate), average 2000-16","score","2018","0.30325"
"Albania","gini of household income reported in Gallup, by wp5-year","score","2018","0.456174194812775"
"Albania","Most people can be trusted, WVS round 1994-1998","score","2018","0.243243247270584"
"Albania","Most people can be trusted, WVS round 1999-2004","score","2018","0.23199999332428"
"Algeria","Happiness Score","Scale, 0=Low ; 10=High","2018","5.21129989624023"
"Algeria","Dystopia (1.88) + residual","score","2018","1.99230694770813"
"Algeria","Whisker-high","score","2018","5.30355834960938"
"Algeria","Whisker-low","score","2018","5.11904144287109"
"Algeria","GDP per capita","score","2018","1.00151526927948"
"Algeria","Social support","score","2018","1.15961825847626"
"Algeria","Healthy life expectancy","score","2018","0.785281598567963"
"Algeria","Freedom to make life choices","score","2018","0.0855325385928154"
"Algeria","Generosity","score","2018","0.0726418122649193"
"Algeria","Perceptions of corruption","score","2018","0.114427745342255"
"Algeria","Life Ladder","score","2018","5.04308605194092"
"Algeria","Log GDP per capita","score","2018","9.55795192718506"
"Algeria","Social support","score","2018","0.798651337623596"
"Algeria","Healthy life expectancy at birth","years","2018","65.9000015258789"
"Algeria","Freedom to make life choices","score","2018","0.583380579948425"
"Algeria","Generosity","score","2018","-0.172413006424904"
"Algeria","Perceptions of corruption","score","2018","0.758704125881195"
"Algeria","Positive affect","score","2018","0.591042935848236"
"Algeria","Negative affect","score","2018","0.292945563793182"
"Algeria","Standard deviation of ladder by country-year","score","2018","1.97394287586212"
"Algeria","Standard deviation/Mean of ladder by country-year","score","2018","0.391415655612946"
"Algeria","GINI index (World Bank estimate), average 2000-16","score","2018","0.276"
"Algeria","gini of household income reported in Gallup, by wp5-year","score","2018","0.66787189245224"
"Algeria","Most people can be trusted, WVS round 1999-2004","score","2018","0.107644304633141"
"Algeria","Most people can be trusted, WVS round 2010-2014","score","2018","0.179286330938339"
"Argentina","Happiness Score","Scale, 0=Low ; 10=High","2018","6.08629989624023"
"Argentina","Dystopia (1.88) + residual","score","2018","2.09629273414612"
"Argentina","Whisker-high","score","2018","6.19153881072998"
"Argentina","Whisker-low","score","2018","5.98106098175049"
"Argentina","GDP per capita","score","2018","1.09151566028595"
"Argentina","Social support","score","2018","1.43150758743286"
"Argentina","Healthy life expectancy","score","2018","0.880779325962067"
"Argentina","Freedom to make life choices","score","2018","0.470637440681458"
"Argentina","Generosity","score","2018","0.0659198015928268"
"Argentina","Perceptions of corruption","score","2018","0.0496974252164364"
"Argentina","Life Ladder","score","2018","5.79279661178589"
"Argentina","Log GDP per capita","score","2018","9.80997180938721"
"Argentina","Social support","score","2018","0.89991158246994"
"Argentina","Healthy life expectancy at birth","years","2018","68.8000030517578"
"Argentina","Freedom to make life choices","score","2018","0.845894694328308"
"Argentina","Generosity","score","2018","-0.206936627626419"
"Argentina","Perceptions of corruption","score","2018","0.855255246162415"
"Argentina","Positive affect","score","2018","0.820309698581696"
"Argentina","Negative affect","score","2018","0.320502072572708"
"Argentina","Confidence in national government","score","2018","0.261352270841599"
"Argentina","Standard deviation of ladder by country-year","score","2018","2.47255873680115"
"Argentina","Standard deviation/Mean of ladder by country-year","score","2018","0.42683333158493"
"Argentina","GINI index (World Bank estimate), average 2000-16","score","2018","0.4609375"
"Argentina","gini of household income reported in Gallup, by wp5-year","score","2018","0.405355930328369"
"Argentina","Most people can be trusted, WVS round 1981-1984","score","2018","0.270073294639587"
"Argentina","Most people can be trusted, WVS round 1989-1993","score","2018","0.223552897572517"
"Argentina","Most people can be trusted, WVS round 1994-1998","score","2018","0.170843616127968"
"Argentina","Most people can be trusted, WVS round 1999-2004","score","2018","0.150153532624245"
"Argentina","Most people can be trusted, WVS round 2005-2009","score","2018","0.174057528376579"
"Argentina","Most people can be trusted, WVS round 2010-2014","score","2018","0.193530723452568"
"Armenia","Happiness Score","Scale, 0=Low ; 10=High","2018","4.55940008163452"
"Armenia","Dystopia (1.88) + residual","score","2018","1.39799571037292"
"Armenia","Whisker-high","score","2018","4.65161323547363"
"Armenia","Whisker-low","score","2018","4.46718692779541"
"Armenia","GDP per capita","score","2018","0.850108981132507"
"Armenia","Social support","score","2018","1.05493986606598"
